gene,AGH,CFB,CGC,CHC,HPB,Overall
MND1,71.1337246601417,55.78823459116824,42.38431102535439,52.72477135293408,54.65542091862328,55.337292509644335
MCM8,47.408878185312,60.76515966841086,60.43649629729775,54.47392983875393,53.37913910550958,55.29272061905682
DECR2,44.0714265978894,41.863396939605984,55.7618595556439,54.89653060596397,77.10452660545015,54.73954806091068
ERO1B,45.155531509721094,80.68808241520871,64.07034613846871,57.73429023019251,25.722474197613465,54.6741448982409
RBKS,46.26775185325195,60.68929465678134,44.316834673540775,58.50245194923603,61.39736674785081,54.23473997613218
PPP4R4,67.53987219562121,55.99565101745899,45.92515944459607,46.5811129570579,47.18851475645752,52.64606207423834
ODAPH,49.6149980369914,55.011578127895376,86.71357885756508,57.16866457266856,12.377257468009166,52.17721541262592
CKAP5,45.94694443798254,84.25769061067717,75.80134112153189,33.89256539365181,16.6236456439838,51.30443744156544
NCK2,46.18413042306005,59.36475784654242,61.08980284416585,35.78391042957747,53.745748385424854,51.233669985754126
TRIM58,48.62802296646285,66.97017919152309,40.58147452824297,47.72426792340467,52.23507918691242,51.2278047593092
FLNA,55.75808317685714,66.40873902943466,56.75134751341372,41.8002587970883,34.94815410628046,51.133316524614855
SLC35G1,58.262975145395856,55.22107090451128,50.880258099143816,46.2010299687428,44.03569913059401,50.92020664967755
HOXB13,39.07893329661676,44.66515220176731,63.90907184736471,53.837353106334184,52.156393269958315,50.72938074440825
LY86,45.51770494142433,61.36412942584517,50.5110419838223,33.61995177768071,60.034444806891564,50.20945458713282
TBKBP1,60.851750176635065,44.306286924336106,59.72439027091189,42.2525866377151,43.679911179947524,50.16298503790914
SSR3,69.13756733489984,70.68971043822091,24.458499362082936,29.367971835694085,55.64263149492663,49.85927609316488
TIGD1,34.772972190661264,50.69878986506264,61.95440015425376,52.52565925949698,45.330092422860176,49.05638277846697
RPL14,25.927258062372083,62.70578260910595,46.85062961807818,66.1461814672836,43.498617625293406,49.025693876426644
ELOB,47.417944769113966,42.58753832296631,41.42774929169302,39.92439334707369,73.64957518903165,49.001440183975724
ANKIB1,65.51815969783561,55.6532289621894,33.52710887701299,47.539382923011765,40.19199250781125,48.4859745935722
RUNX3,36.29747658348692,53.80388074547815,47.28526854045495,64.2109519754959,39.65266912106214,48.25004939319561
CACNA2D2,49.8569169353395,46.81395056684175,63.19994520851985,37.36814202644352,44.003294567692215,48.24844986096737
RAB32,39.05323647384834,44.46703287833859,51.98413240831452,36.47359668648417,68.59684371892017,48.11496843318116
LGALS16,34.61396902333883,23.98403120500351,70.09965736241772,56.31858002226674,53.33568302335171,47.6703841272757
BBOX1,59.33435537400843,34.32411153613221,60.40286363271997,36.3832437003736,45.66289315365914,47.22149347937867
SCGB1A1,53.62170051767815,40.956535108381935,47.98878716589427,46.5906280866661,45.98955617792801,47.02944141130969
NPIPB13,25.33470177841139,82.8958585184005,46.483086502473355,63.4415434436187,16.639263571319432,46.958890762844675
COPZ2,43.20513837103835,43.84261958713768,40.25324311197962,61.162288412475576,45.921538404482526,46.87696557742275
TAPT1,55.69573852794956,55.93077217906782,37.59919156556607,37.4311157102503,46.79511654799365,46.69038690616548
NID2,48.143883302516564,49.688513078668436,34.45171413886665,54.626106621170536,45.47367014512286,46.47677745726901
SMARCB1,33.36758777511037,58.81352649104515,37.999294563225824,42.030099441463896,58.49661539967115,46.14142473410328
PACRG,47.52463356574601,42.08272464102806,36.84434516359259,65.0953010930799,37.176631732697075,45.74472723922872
CDK10,35.541324065155486,74.32739004636989,32.0892829645755,64.84881095756198,21.282438552182025,45.617849317168975
NMNAT3,38.675354522247154,48.99727259406145,53.99434668422738,44.69455964257076,40.029571312849235,45.278220951191194
CFAP97D2,34.93208153755047,57.090606077024255,45.321107104937035,62.12483265103914,26.695635732667373,45.232852620643655
CAPN10,42.97689798084866,54.379938148094695,22.437832055531874,47.53816130367443,58.295998967908126,45.125765691211555
CFB,57.20377208472449,48.199371728757235,22.392950671979612,40.98848174970829,54.061378990665624,44.56919104516705
MOB3C,47.568536178702146,51.85455687866457,58.86295732124584,47.46523121476791,16.994420865610415,44.54914049179818
CT47A10,32.8525411336501,34.55112820313737,63.1649450349902,51.372921631586735,40.18584788443564,44.42547677756001
NASP,22.567973934448133,55.12863622786299,63.746029089951406,37.30116052214461,42.3122087261331,44.21120170010805
LYST,51.162597225098395,18.032339678809585,58.06974343671332,46.95342438133009,46.74403005436819,44.19242695526391
WHAMM,31.193202496164613,58.07944257038069,21.15475329848011,60.76295870067838,48.72391687832988,43.98285478880673
HTRA4,54.53455809633433,50.6124299371156,35.08160536289869,34.48654632977161,43.626615927576076,43.66835113073926
PELO,41.50292181172613,54.39819232552664,39.377711817842034,31.1089077353777,50.804370278475865,43.438420793789675
CBR1,54.72081899953285,45.072141386544885,23.094218456466713,48.20884227691363,43.61433354199368,42.94207093229035
IFNA17,38.79381865030985,48.60531201718122,22.70911816627293,51.02701573555544,53.10701889682247,42.84845669322838
KLK3,33.00897872230695,25.371728399183645,63.1875794328394,23.92016176534515,67.61813997252376,42.62131765843978
BMP3,48.596985364980206,25.19986152437114,63.07978603556551,57.398457086004676,18.114543502090356,42.477926702602375
FOXJ3,25.341883369650237,60.449265834950964,37.1666447882807,33.068859958739324,54.167517576963476,42.03883430571694
KCNRG,31.828188703055936,53.0198814862831,33.80333479013377,46.69531786539585,43.818349079666895,41.83301438490711
RAP1GAP,33.17132963326649,88.20505825707649,10.412999912925114,62.03233519317356,15.167370749631267,41.797818749214585
UBR3,34.68825818916448,22.429989941863365,41.578619684201975,61.84912912493572,48.07476551629404,41.72415249129192
ARTN,32.69262006614358,36.3759018551982,42.17334192331327,52.925795328699756,43.33484165951464,41.500500166573886
DCAF11,42.902897416333055,50.10559522024387,32.781504805402065,34.35499221414004,46.99089963408113,41.42717785804003
SUSD3,57.763370949395835,49.61915678422981,26.918340616849367,48.09183091747542,23.832573848056377,41.24505462320136
DPT,36.96070503392937,32.663098221728596,36.16834175245459,58.66413901721922,41.719783950916266,41.23521359524961
C13orf46,30.66908688345861,65.24815210259999,24.328010084373084,62.66151274073447,22.79986430457176,41.14132522314758
HIVEP2,41.66404539497318,54.72797674495467,50.4363286457997,24.722689236016283,32.77548306289976,40.86530461692872
TMEM114,23.10247494490653,36.614608090727145,43.71539143871078,46.89829762181944,53.7613101591913,40.81841645107104
PRAMEF20,46.11362963659866,53.79592233654401,32.43319426952834,39.53117718238852,31.812492150564903,40.73728311512489
RNPEPL1,50.16971357362646,35.57300354510845,42.99868736380666,40.163180940699576,34.70292567746739,40.72150222014171
TSC22D4,35.02988670231827,43.51812183183313,40.44270660288633,44.688586463502006,39.13674140373687,40.56320860085532
DENND6B,34.6762429345021,31.128482507926957,46.11661835299243,44.9104888432824,44.78096907686037,40.322560343112855
CDCA8,39.45373630838413,45.90710093121441,19.63538817781053,56.94580894640692,39.21933613590243,40.23227409994368
TAF9,25.948133312260225,39.15697530941263,56.651791134219785,32.107261089796914,46.633919821879665,40.09961613351384
RNF216,30.555324150271947,39.48217966733339,38.67398305451511,43.73532684765632,47.759736272361565,40.041309998427664
